CHARACTER,CARD NUMBER,POWER,HEALTH,STRIKE ATTACK,STRIKE DEFENCE,BLAST ATTACK,BLAST DEFENCE
SUPER BABY 2,DBL19-08S,9.31K,24.14K,2.15K,1.6K,2.26K,1.63K
SUPER SAIYAN 4 GOKU,DBL19-05S,9.3K,23.12K,2.48K,1.53K,2.14K,1.55K
GOLDEN FRIEZA,DBL13-06S,9.3K,22.44K,2.37K,1.46K,2.5K,1.42K
BUU: KID,DBL17-06S,9.3K,23.65K,2.41K,1.56K,2.15K,1.53K
SUPER #17,DBL16-13S,9.29K,22.89K,2.14K,1.58K,2.4K,1.58K
RIBRIANNE,DBL11-07S,9.29K,24.36K,2.44K,1.48K,2.16K,1.53K
SUPER SAIYAN GOD GOKU,DBL20-05S,9.28K,24.36K,2.22K,1.54K,2.28K,1.57K
ANDROID #21: EVIL,DBL21-05S,9.28K,24.14K,2.45K,1.5K,2.16K,1.51K
SUPER SAIYAN VEGETA,DBL20-06S,9.28K,22.9K,2.13K,1.5K,2.52K,1.54K
GOKU,DBL22-01S,9.27K,22.89K,2.29K,1.6K,2.22K,1.58K
KAKAROT GOKU,DBL-EVT-14S,9.26K,24.36K,2.36K,1.52K,2.18K,1.53K
SUPER SAIYAN GOD SS GOKU,DBL13-01S,9.25K,22.9K,2.32K,1.52K,2.37K,1.45K
BABY VEGETA,DBL21-02S,9.25K,24.14K,2.19K,1.53K,2.32K,1.53K
RADITZ,DBL22-04S,9.24K,23.12K,2.2K,1.53K,2.41K,1.5K
1ST FORM FRIEZA,DBL22-05S,9.24K,23.01K,2.16K,1.54K,2.4K,1.54K
SUPER SAIYAN GOHAN (YOUTH),DBL17-01S,9.22K,22.66K,2.34K,1.58K,2.15K,1.58K
ANDROID #17,DBL03-05S,9.21K,23.K,2.13K,1.59K,2.29K,1.62K
SUPER VEGITO,DBL13-03S,9.21K,23.89K,2.45K,1.48K,2.18K,1.45K
LEGENDARY SUPER SAIYAN BROLY,DBL12-01S,9.2K,24.14K,2.28K,1.58K,2.14K,1.54K
ANDROID #18,DBL16-07S,9.2K,22.66K,2.09K,1.61K,2.34K,1.6K
PICCOLO,DBL22-03S,9.19K,23.35K,2.14K,1.6K,2.25K,1.59K
ULTIMATE GOHAN ABSORBED BUU: SUPER,DBL13-09S,9.18K,23.66K,2.4K,1.48K,2.18K,1.48K
1ST FORM CELL,DBL23-02S,9.18K,23.78K,2.25K,1.44K,2.38K,1.48K
ANDROID #13,DBL14-05S,9.18K,23.12K,2.17K,1.45K,2.46K,1.5K
KAKUNSA,DBL16-08S,9.18K,22.66K,2.52K,1.52K,2.06K,1.51K
PERFECT CELL,DBL10-09S,9.17K,22.79K,2.46K,1.44K,2.25K,1.45K
HYPER META-RILLDO,DBL11-04S,9.17K,21.69K,2.49K,1.52K,2.14K,1.52K
SUPER SAIYAN 3 GOTENKS,DBL11-08S,9.15K,20.6K,2.34K,1.63K,2.15K,1.6K
HERO TAPION,DBL19-03S,9.13K,23.12K,2.44K,1.54K,2.06K,1.49K
SUPER SAIYAN GOD SS VEGETA,DBL13-02S,9.11K,22.9K,2.45K,1.42K,2.24K,1.42K
VEGITO,DBL-EVT-07S,9.1K,23.89K,2.13K,1.57K,2.17K,1.57K
SUPER SAIYAN KALE (BERSERK),DBL09-04S,9.09K,23.42K,2.09K,1.58K,2.25K,1.55K
GOKU BLACK,DBL15-02S,9.09K,22.9K,2.16K,1.6K,2.16K,1.59K
GOKU,DBL15-05S,9.07K,22.56K,2.17K,1.42K,2.49K,1.44K
TURLES,DBL02-13S,9.07K,22.35K,2.32K,1.37K,2.47K,1.38K
HIT,DBL15-08S,9.06K,23.01K,2.59K,1.37K,2.1K,1.41K
FINAL FORM FRIEZA,DBL18-01S,9.06K,22.89K,2.31K,1.51K,2.17K,1.49K
SUPER SAIYAN GOHAN (TEEN),DBL-EVT-12S,9.04K,22.66K,2.34K,1.48K,2.17K,1.49K
GOHAN,DBL15-01S,9.K,22.89K,2.12K,1.42K,2.42K,1.45K
GOGETA,DBL10-11S,8.99K,22.13K,2.25K,1.42K,2.38K,1.42K
ANDROID #21,DBL-EVT-13S,8.98K,21.91K,2.23K,1.55K,2.13K,1.55K
SUPER SAIYAN 2 CAULIFLA,DBL09-03S,8.97K,21.68K,2.51K,1.45K,2.09K,1.42K
GREAT SAIYAMAN 1,DBL-EVT-05S,8.97K,21.46K,2.14K,1.52K,2.36K,1.47K
GREAT SAIYAMAN 2,DBL11-06S,8.96K,23.K,2.4K,1.41K,2.11K,1.44K
SUPER SAIYAN VEGETA,DBL02-01S,8.95K,19.9K,2.33K,1.64K,2.05K,1.55K
SUPER GOGETA,DBL05-10S,8.95K,23.12K,2.37K,1.37K,2.23K,1.39K
SUPER SAIYAN VEGETA,DBL11-02S,8.95K,23.13K,2.14K,1.44K,2.34K,1.44K
1ST FORM FRIEZA,DBL03-13S,8.95K,23.36K,1.99K,1.43K,2.48K,1.43K
SUPER SAIYAN GOKU,DBL12-04S,8.94K,23.13K,2.14K,1.55K,2.14K,1.52K
SUPER SAIYAN CABBA,DBL09-01S,8.94K,22.67K,2.13K,1.44K,2.32K,1.48K
ULTIMATE GOHAN,DBL10-02S,8.93K,22.21K,2.46K,1.38K,2.19K,1.37K
SUPER SAIYAN 3 GOKU,DBL10-01S,8.93K,21.69K,2.27K,1.36K,2.48K,1.32K
ROZIE,DBL16-09S,8.93K,21.89K,2.14K,1.47K,2.32K,1.47K
FINAL FORM COOLER,DBL08-10S,8.93K,21.67K,2.42K,1.38K,2.23K,1.4K
ANDROID #14,DBL14-02S,8.92K,24.13K,2.44K,1.52K,1.8K,1.5K
SUPER NAMEKIAN LORD SLUG,DBL10-10S,8.91K,23.37K,2.35K,1.42K,2.12K,1.41K
MAJIN VEGETA,DBL06-12S,8.91K,21.47K,2.42K,1.39K,2.23K,1.39K
SUPER SAIYAN GOKU,DBL11-01S,8.91K,21.8K,2.17K,1.37K,2.47K,1.39K
METAL COOLER,DBL12-02S,8.91K,24.13K,2.14K,1.46K,2.18K,1.47K
COOLER,DBL18-03S,8.9K,23.88K,2.1K,1.55K,2.K,1.6K
BOUJACK,DBL08-13S,8.9K,23.23K,2.1K,1.44K,2.3K,1.45K
SUPER SAIYAN GOD SS GOKU,DBL15-07S,8.88K,23.47K,2.39K,1.37K,2.11K,1.39K
SUPER SAIYAN BROLY,DBL07-07S,8.85K,24.13K,2.1K,1.38K,2.36K,1.35K
NAPPA (YOUNG),DBL-EVT-11S,8.85K,22.89K,2.13K,1.48K,2.15K,1.51K
TRUNKS (TEEN),DBL14-04S,8.85K,22.67K,2.49K,1.39K,2.05K,1.36K
MAJIN BUU: GOOD,DBL06-06S,8.85K,22.66K,2.06K,1.57K,2.11K,1.54K
SUPER SAIYAN GOHAN,DBL08-01S,8.84K,23.36K,2.25K,1.4K,2.14K,1.44K
ANDROID #15,DBL14-03S,8.84K,22.89K,2.11K,1.52K,2.11K,1.52K
VEGETA,DBL01-17S,8.84K,22.67K,1.98K,1.44K,2.45K,1.4K
GOKU,DBL02-11S,8.83K,23.12K,1.97K,1.5K,2.28K,1.48K
GOKU CAPTAIN GINYU,DBL-EVT-10S,8.83K,22.89K,2.36K,1.38K,2.08K,1.42K
ZAMASU,DBL08-14S,8.83K,24.38K,2.09K,1.46K,2.12K,1.48K
SUPER SAIYAN 3 GOKU,DBL06-11S,8.82K,20.69K,2.44K,1.3K,2.41K,1.25K
VEGETA,DBL14-01S,8.81K,22.56K,2.29K,1.38K,2.18K,1.41K
SUPER SAIYAN GOTENKS,DBL06-01S,8.81K,21.46K,2.22K,1.3K,2.41K,1.39K
COOLER,DBL02-15S,8.81K,22.89K,2.K,1.43K,2.39K,1.42K
SUPER SAIYAN BARDOCK,DBL07-04S,8.8K,21.11K,2.39K,1.39K,2.16K,1.41K
SUPER JANEMBA,DBL05-11S,8.8K,24.25K,2.05K,1.49K,2.09K,1.5K
PICCOLO,DBL01-07S,8.8K,23.23K,2.03K,1.6K,1.99K,1.57K
FUSED WITH KAMI PICCOLO,DBL-EVT-09S,8.79K,20.91K,2.05K,1.45K,2.37K,1.47K
PAN,DBL01-05S,8.79K,20.7K,2.35K,1.45K,2.1K,1.45K
SUPER SAIYAN GOKU,DBL-EVT-08S,8.78K,21.67K,2.17K,1.49K,2.14K,1.49K
SUPER SAIYAN 2 TRUNKS (ADULT),DBL08-02S,8.78K,21.69K,2.2K,1.36K,2.34K,1.38K
FINAL FORM FRIEZA,DBL01-41S,8.77K,22.22K,2.42K,1.38K,2.02K,1.41K
SUPER SAIYAN 2 GOKU,DBL07-01S,8.77K,23.01K,2.1K,1.51K,2.1K,1.47K
GOD OF DESTRUCTION BEERUS,DBL07-11S,8.75K,23.01K,2.07K,1.37K,2.37K,1.35K
KRILLIN,DBL03-03S,8.75K,21.11K,2.14K,1.42K,2.31K,1.42K
SUPER SAIYAN 2 VEGETA,DBL10-03S,8.72K,21.91K,2.12K,1.4K,2.25K,1.44K
SUPER SAIYAN GOD GOKU,DBL07-09S,8.71K,23.12K,2.24K,1.35K,2.14K,1.39K
VEGETA,DBL07-10S,8.7K,22.9K,2.34K,1.46K,1.89K,1.43K
SUPER SAIYAN GOKU,DBL03-01S,8.68K,19.81K,2.3K,1.39K,2.26K,1.36K
GOKU BLACK,DBL06-13S,8.67K,20.91K,1.98K,1.44K,2.34K,1.46K
VIDEL,DBL09-07S,8.65K,21.57K,2.31K,1.41K,2.K,1.44K
BROLY: FURY,DBL-EVT-02S,8.63K,22.12K,2.31K,1.38K,2.06K,1.35K
PIKKON,DBL01-16S,8.61K,23.12K,2.35K,1.34K,1.96K,1.36K
SUPER SAIYAN GOD VEGETA,DBL09-09S,8.61K,22.11K,2.43K,1.35K,1.99K,1.32K
KING OF THE DEMON REALM DABURA,DBL06-07S,8.61K,20.9K,2.04K,1.41K,2.31K,1.39K
BUNNY GIRL BULMA (YOUTH),DBL16-06S,8.6K,21.79K,2.14K,1.39K,2.12K,1.45K
CAPTAIN GINYU,DBL01-44S,8.59K,22.66K,1.97K,1.42K,2.18K,1.45K
CHI-CHI,DBL09-06S,8.59K,21.11K,2.2K,1.33K,2.23K,1.36K
GOTENKS,DBL-EVT-04S,8.53K,22.22K,2.16K,1.47K,1.95K,1.42K
ANDROID #18,DBL06-10S,8.52K,21.46K,2.28K,1.32K,2.07K,1.35K
SUPER SAIYAN GOKU,DBL04-10S,8.47K,21.83K,2.15K,1.49K,1.81K,1.51K
PERFECT FORM CELL,DBL04-04S,8.43K,20.45K,2.13K,1.29K,2.3K,1.29K
DEMON KING PICCOLO,DBL05-08S,8.41K,20.32K,2.27K,1.42K,2.K,1.3K
BARDOCK,DBL03-10S,8.39K,24.87K,2.16K,1.37K,1.79K,1.37K
GOKU (YOUTH),DBL-EVT-01S,8.39K,20.71K,2.37K,1.34K,1.92K,1.33K
GOKU,DBL07-08S,8.37K,20.22K,2.23K,1.43K,1.94K,1.36K
CHILLED,DBL07-05S,8.37K,22.44K,2.02K,1.41K,2.K,1.39K
SUPER SAIYAN 2 GOHAN (YOUTH),DBL04-11S,8.34K,23.23K,2.21K,1.34K,1.85K,1.35K
SUPER SAIYAN TRUNKS (KID),DBL05-03S,8.3K,20.61K,2.03K,1.27K,2.33K,1.25K
BULMA (YOUTH),DBL09-05S,8.3K,21.K,1.89K,1.33K,2.25K,1.37K
MAI,DBL08-03S,8.29K,20.01K,1.88K,1.43K,2.17K,1.43K
FUSED WITH KAMI PICCOLO,DBL05-05S,8.21K,22.16K,1.78K,1.29K,2.33K,1.28K
ANDROID #16,DBL05-06S,8.13K,24.62K,2.05K,1.54K,1.28K,1.57K
SUPER VEGETA,DBL03-14S,8.09K,22.16K,1.78K,1.23K,2.25K,1.31K
SUPER SAIYAN GOTEN (KID),DBL05-01S,8.09K,20.82K,2.32K,1.29K,1.83K,1.2K
TAITANS YAMCHA,DBL-EVT-06S,7.81K,23.66K,1.93K,1.16K,1.89K,1.2K
SUPER TRUNKS,DBL03-15S,7.78K,17.45K,2.4K,1.28K,1.61K,1.28K
ANDROID #18,DBL03-06S,7.73K,18.1K,2.13K,1.24K,1.78K,1.32K
SUPER SAIYAN GOKU,DBL04-01S,7.69K,21.72K,1.64K,1.28K,2.01K,1.26K
LEGENDARY SUPER SAIYAN BROLY,DBL01-35S,7.69K,19.03K,2.39K,1.23K,1.58K,1.17K
GOHAN (KID),DBL01-36S,7.45K,18.65K,2.22K,1.27K,1.42K,1.26K
SUPER SAIYAN GOKU,DBL01-04S,7.44K,16.96K,1.79K,1.09K,2.25K,1.14K
TRUNKS (YOUTH),DBL-EVT-03S,7.21K,19.1K,1.9K,1.26K,1.44K,1.28K
GOKU,DBL01-03S,7.08K,18.66K,1.66K,1.27K,1.53K,1.33K
SUPER SAIYAN TRUNKS (TEEN),DBL02-02S,6.95K,18.47K,1.6K,1.24K,1.58K,1.25K
WORLD CHAMPION HERCULE,DBL05-07S,5.82K,16.68K,1.1K,1.22K,1.09K,1.25K
LEGENDARY SUPER SAIYAN BROLY,DBL17-02E,9.54K,24.12K,2.36K,1.51K,2.52K,1.48K
GOGETA,DBL24-02E,9.5K,24.38K,2.45K,1.58K,2.18K,1.61K
WHIS,DBL13-05E,9.36K,21.K,2.3K,1.57K,2.46K,1.57K
SUPER TRUNKS,DBL24-06E,9.35K,23.4K,2.53K,1.43K,2.32K,1.46K
NAIL,DBL16-03E,9.32K,23.65K,2.13K,1.53K,2.47K,1.56K
MAJIN BUU: GOOD,DBL21-04E,9.27K,23.9K,2.35K,1.55K,2.17K,1.55K
BUU: SUPER,DBL19-04E,9.24K,22.43K,2.45K,1.43K,2.4K,1.4K
CHI-CHI,DBL21-03E,9.23K,22.88K,2.13K,1.57K,2.35K,1.6K
CHILLED,DBL13-07E,9.2K,21.47K,2.39K,1.44K,2.45K,1.43K
ANDROID #13,DBL17-04E,9.17K,23.35K,2.27K,1.46K,2.35K,1.49K
GOHAN (KID),DBL16-11E,9.15K,20.59K,2.17K,1.54K,2.47K,1.54K
GOKU,DBL19-06E,9.15K,23.12K,2.45K,1.48K,2.11K,1.52K
SHUGESH,DBL22-07E,9.13K,23.36K,2.48K,1.44K,2.17K,1.43K
SUPER VEGETA,DBL24-04E,9.13K,22.67K,2.23K,1.46K,2.42K,1.45K
BORGOS,DBL22-06E,9.13K,24.13K,2.28K,1.53K,2.15K,1.5K
RECOOME,DBL14-06E,9.11K,23.89K,2.18K,1.57K,2.13K,1.58K
ZANGYA,DBL15-04E,9.11K,23.13K,2.35K,1.4K,2.32K,1.43K
MAJIN BUU: PURE EVIL,DBL10-05E,9.1K,22.45K,2.27K,1.38K,2.53K,1.37K
CAPTAIN GINYU,DBL14-10E,9.1K,22.78K,2.33K,1.43K,2.33K,1.43K
ZAMASU,DBL16-05E,9.04K,23.36K,2.09K,1.47K,2.35K,1.53K
ANDROID #14,DBL20-03E,9.04K,22.11K,2.34K,1.55K,2.12K,1.51K
2ND FORM FRIEZA,DBL18-02E,9.03K,22.43K,2.39K,1.47K,2.14K,1.47K
HYPER META-RILLDO,DBL19-09E,9.02K,24.12K,2.34K,1.52K,1.97K,1.53K
VIDEL,DBL12-03E,9.02K,22.78K,2.24K,1.57K,2.11K,1.52K
KRILLIN,DBL16-12E,8.97K,22.21K,2.13K,1.43K,2.36K,1.51K
SYN SHENRON,DBL24-10E,8.96K,22.57K,2.14K,1.54K,2.14K,1.59K
ANDROID #15,DBL20-04E,8.96K,21.54K,2.2K,1.45K,2.34K,1.47K
TRUNKS,DBL11-03E,8.93K,21.91K,2.14K,1.43K,2.41K,1.44K
BOUJACK,DBL15-03E,8.92K,23.13K,2.15K,1.52K,2.13K,1.52K
TRUNKS (KID),DBL19-02E,8.9K,23.11K,2.1K,1.39K,2.38K,1.43K
3RD FORM FRIEZA,DBL01-43E,8.88K,22.67K,2.18K,1.41K,2.29K,1.45K
SUPER JANEMBA,DBL13-08E,8.88K,22.12K,2.33K,1.43K,2.15K,1.43K
PERFECT FORM CELL,DBL23-03E,8.84K,23.12K,2.14K,1.43K,2.23K,1.44K
SUPER NAMEKIAN LORD SLUG,DBL11-10E,8.83K,23.6K,2.12K,1.47K,2.14K,1.48K
JEICE,DBL14-08E,8.82K,22.66K,2.11K,1.41K,2.25K,1.48K
SHISAMI,DBL18-04E,8.81K,23.12K,2.37K,1.43K,2.02K,1.39K
GOD OF DESTRUCTION BEERUS,DBL13-04E,8.81K,21.9K,2.14K,1.36K,2.45K,1.34K
1ST FORM FRIEZA,DBL01-40E,8.8K,20.28K,2.06K,1.42K,2.49K,1.43K
TRUNKS (TEEN),DBL10-07E,8.74K,21.69K,2.4K,1.44K,1.96K,1.45K
VEGETA,DBL03-04E,8.7K,20.7K,2.09K,1.46K,2.32K,1.4K
BULMA (YOUTH),DBL11-05E,8.7K,21.02K,1.92K,1.43K,2.44K,1.46K
TIEN,DBL10-08E,8.69K,21.58K,2.15K,1.43K,2.15K,1.47K
DEMON KING PICCOLO,DBL05-09E,8.66K,23.24K,2.02K,1.33K,2.38K,1.32K
GOHAN,DBL08-06E,8.66K,21.78K,2.01K,1.4K,2.33K,1.42K
SUPER SAIYAN VEGETA,DBL10-04E,8.65K,21.47K,2.1K,1.5K,2.07K,1.49K
BURTER,DBL14-07E,8.54K,21.68K,2.21K,1.41K,1.94K,1.47K
TORA,DBL08-08E,8.53K,22.89K,2.K,1.4K,2.18K,1.36K
TURLES,DBL02-14E,8.5K,23.36K,1.94K,1.29K,2.37K,1.29K
ANDROID #17,DBL08-04E,8.41K,20.49K,2.09K,1.53K,1.88K,1.5K
ANDROID #18,DBL08-05E,8.39K,20.7K,2.K,1.33K,2.27K,1.36K
TIEN,DBL01-11E,8.34K,19.52K,2.K,1.5K,1.96K,1.52K
VEGETA,DBL01-39E,8.31K,19.7K,1.94K,1.33K,2.32K,1.35K
PAN: HONEY,DBL08-07E,8.29K,20.8K,1.99K,1.39K,2.05K,1.43K
ANDROID #16,DBL06-09E,8.26K,22.44K,2.15K,1.34K,1.9K,1.32K
GULDO,DBL14-09E,8.25K,20.59K,1.8K,1.41K,2.16K,1.45K
CAULIFLA,DBL09-02E,8.25K,21.78K,2.16K,1.26K,2.11K,1.22K
FASHA,DBL08-09E,8.24K,21.9K,2.1K,1.31K,1.95K,1.35K
2ND FORM CELL,DBL04-02E,8.23K,19.71K,2.01K,1.38K,2.08K,1.38K
FUSED WITH NAIL PICCOLO,DBL01-37E,8.21K,22.89K,1.9K,1.43K,1.88K,1.41K
KRILLIN,DBL01-33E,8.2K,23.02K,1.94K,1.4K,1.88K,1.39K
SUPER SAIYAN TRUNKS (TEEN),DBL07-03E,8.1K,20.49K,1.99K,1.18K,2.29K,1.23K
MAI,DBL09-08E,8.06K,18.92K,1.88K,1.33K,2.19K,1.35K
CELL JR.,DBL06-05E,8.04K,19.72K,2.32K,1.19K,1.97K,1.21K
GOHAN (YOUTH),DBL06-03E,8.K,19.33K,1.59K,1.38K,2.34K,1.35K
SUPER SAIYAN VEGETA,DBL07-02E,8.K,19.91K,1.97K,1.18K,2.29K,1.18K
YAMCHA,DBL01-38E,7.93K,19.7K,2.28K,1.17K,1.91K,1.21K
COOLER,DBL07-06E,7.91K,21.9K,1.89K,1.29K,1.95K,1.26K
THOUSER,DBL08-11E,7.65K,23.12K,2.07K,1.19K,1.58K,1.22K
CABBA,DBL03-11E,7.58K,21.11K,1.57K,1.22K,2.06K,1.27K
TRUNKS (KID),DBL05-04E,7.42K,18.28K,1.53K,1.26K,2.08K,1.29K
MERCENARY TAO,DBL01-31E,7.41K,19.91K,2.08K,1.17K,1.55K,1.22K
GOTEN (KID),DBL05-02E,7.4K,17.92K,2.02K,1.28K,1.58K,1.28K
DODORIA,DBL04-09E,7.16K,20.24K,1.85K,1.21K,1.42K,1.29K
FINAL FORM FROST,DBL01-46E,7.06K,19.39K,1.52K,1.33K,1.5K,1.37K
MASTER ROSHI,DBL04-13E,7.02K,18.47K,1.37K,1.27K,1.83K,1.27K
BARDOCK,DBL04-06E,7.00K,18.65K,1.85K,1.26K,1.37K,1.23K
1ST FORM FRIEZA,DBL04-07E,6.95K,17.9K,1.58K,1.26K,1.76K,1.11K
CHIAOTZU,DBL01-12E,6.95K,20.7K,1.05K,1.25K,1.94K,1.27K
ZARBON,DBL04-08E,6.85K,17.72K,1.55K,1.19K,1.67K,1.19K
VEGETA,DBL02-12E,6.76K,18.28K,1.92K,1.21K,1.12K,1.26K
PAN,DBL04-12E,6.69K,16.11K,1.58K,1.07K,1.79K,1.13K
ANDROID #18,DBL03-07E,6.65K,18.1K,1.44K,1.01K,1.38K,1.57K
ANDROID #17,DBL03-16E,6.58K,17.95K,1.76K,1.04K,1.47K,1.07K
RADITZ,DBL01-21E,6.51K,16.62K,1.73K,.904K,1.85K,.877K
GOKU,DBL01-02E,6.44K,16.11K,2.13K,1.06K,1.08K,1.04K
ANDROID #20,DBL02-09E,6.38K,18.75K,1.22K,.985K,1.65K,1.23K
NAPPA,DBL01-19E,6.37K,17.95K,2.04K,.830K,1.07K,1.17K
ANDROID #19,DBL02-07E,6.35K,17.54K,1.77K,.945K,1.26K,1.16K
TRUNKS (TEEN),DBL02-03E,6.29K,15.03K,1.74K,1.02K,1.45K,1.03K
1ST FORM CELL,DBL03-08E,6.07K,18.5K,1.47K,1.04K,1.43K,.846K
VIDEL,DBL24-07H,8.23K,19.9K,2.12K,1.43K,1.85K,1.45K
MERCENARY TAO,DBL24-12H,7.97K,20.12K,1.82K,1.35K,2.03K,1.37K
NAIL,DBL16-04H,7.96K,20.K,2.12K,1.31K,1.8K,1.35K
THOUSER,DBL08-12H,7.25K,19.9K,1.55K,1.34K,1.6K,1.38K
TURLES,DBL06-08H,7.18K,19.92K,1.56K,1.31K,1.6K,1.34K
KRILLIN,DBL06-04H,7.04K,16.76K,1.57K,1.37K,1.55K,1.38K
SUPER SAIYAN GOKU,DBL06-02H,6.44K,19.52K,1.6K,1.19K,1.09K,1.21K
2ND FORM CELL,DBL04-03H,6.21K,16.42K,1.4K,1.13K,1.4K,1.15K
WORLD CHAMPION HERCULE,DBL24-11H,6.11K,17.1K,1.45K,1.19K,1.1K,1.2K
NAPPA,DBL01-20H,6.1K,14.32K,1.49K,1.07K,1.54K,1.01K
1ST FORM CELL,DBL03-09H,6.07K,15.8K,1.67K,.931K,1.42K,.950K
GOKU,DBL03-02H,6.06K,11.94K,1.57K,1.04K,1.57K,1.05K
FUSED WITH NAIL PICCOLO,DBL01-08H,5.96K,18.8K,1.1K,.852K,1.45K,1.27K
RADITZ,DBL01-22H,5.95K,11.94K,1.51K,1.01K,1.43K,1.16K
RECOOME,DBL01-27H,5.94K,14.18K,1.79K,.945K,1.27K,.945K
SHALLOT,DBL00-01,5.94K,14.18K,1.56K,.945K,1.52K,.926K
VEGETA,DBL01-18H,5.93K,17.01K,1.19K,.726K,1.66K,1.17K
PAN,DBL01-32H,5.93K,11.34K,1.53K,.935K,1.49K,1.17K
KRILLIN,DBL01-09H,5.89K,18.09K,1.18K,.795K,1.44K,1.23K
CABBA,DBL03-12H,5.76K,16.75K,.974K,1.13K,1.38K,1.12K
CAPTAIN GINYU,DBL01-45H,5.74K,15.67K,.868K,1.06K,1.69K,1.04K
CELL JR.,DBL04-05H,5.73K,16.2K,1.55K,.723K,1.58K,.752K
TIEN,DBL01-13H,5.7K,12.66K,1.32K,1.29K,.945K,1.27K
ZARBON,DBL01-25H,5.7K,15.99K,1.03K,1.27K,1.02K,1.27K
JACO,DBL01-15H,5.69K,12.85K,1.32K,1.28K,.916K,1.28K
GOKU,DBL01-01H,5.68K,14.04K,1.04K,.945K,1.77K,.935K
2ND FORM FRIEZA,DBL01-42H,5.67K,16.51K,1.65K,.771K,.974K,1.13K
CHIAOTZU,DBL01-14H,5.67K,14.63K,.907K,.965K,1.75K,1.02K
MASTER ROSHI,DBL04-14H,5.61K,13.4K,.836K,1.09K,1.59K,1.15K
FINAL FORM FROST,DBL01-47H,5.59K,16.67K,1.45K,.748K,1.07K,1.17K
SAIBAMAN,DBL01-23H,5.59K,14.92K,1.23K,1.05K,1.24K,1.03K
JACO,DBL02-05H,5.59K,11.94K,1.39K,1.01K,1.33K,1.01K
GULDO,DBL01-30H,5.59K,15.52K,1.17K,1.01K,1.29K,1.03K
SAIBAMAN,DBL02-06H,5.55K,15.97K,1.15K,1.05K,1.17K,1.07K
GOHAN (KID),DBL01-06H,5.52K,15.51K,.921K,1.23K,1.43K,.861K
1ST FORM FRIEZA,DBL01-24H,5.5K,18.8K,.925K,.827K,1.4K,1.06K
YAMCHA,DBL02-04H,5.49K,17.01K,1.12K,.926K,1.3K,.973K
